season,season_type,week,name,position,recent_team,fpts,dk_salary,fd_salary,rost,opponent_abbr,home,role,result,score,spread,over_under,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,player_display_name,team_abbr_x,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_rat,g,rec,yds,ybc,air,yac,yacon,brktkl,tgt,catchable,drop,rz tgt,10+ yds,20+ yds,30+ yds,40+ yds,50+ yds,rec_rz,tgt_rz,rec pct_rz,y/r_rz,tgt pct_rz,tgt_3wk_avg,tgt_5wk_avg,tgt_7wk_avg,tgt_lag_1,rec_3wk_avg,rec_5wk_avg,rec_7wk_avg,rec_lag_1,rec_yds_3wk_avg,rec_yds_5wk_avg,rec_yds_7wk_avg,rec_yds_lag_1,rec_air_yards_3wk_avg,rec_air_yards_5wk_avg,rec_air_yards_7wk_avg,rec_air_yards_lag_1,fpts_3wk_avg,fpts_5wk_avg,fpts_7wk_avg,fpts_lag_1,tgt_3wk_delta,tgt_5wk_delta,tgt_7wk_delta,rec_3wk_delta,rec_5wk_delta,rec_7wk_delta,rec_yds_3wk_delta,rec_yds_5wk_delta,rec_yds_7wk_delta,rec_air_yards_3wk_delta,rec_air_yards_5wk_delta,rec_air_yards_7wk_delta,fpts_3wk_delta,fpts_5wk_delta,fpts_7wk_delta,tgt_ge_5,tgt_ge_7,rec_ge_5,rec_ge_7,target_share_ge_20,target_share_ge_30,over_100_yds,double_digit_targets,boom_week,bust_week,is_home_game,O_U,Total
2017,REG,1,A.J. Derby,TE,DEN,3.40,2600.00,4800.00,0.0%,LAC,False,Favorite,W,24-21,0.00,O 41.5,3,3,34.00,0,0.00,0.00,20.00,14.00,3.00,3.72,0,1.70,0.11,0.10,0.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,100.00,13.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,over,41.50
2017,REG,2,A.J. Derby,TE,DEN,0.00,2600.00,4900.00,0.0%,DAL,False,Underdog,,,-2.50,O 44,0,1,0.00,0,0.00,0.00,19.00,0.00,0.00,-0.34,0,0.00,0.03,0.08,0.11,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,3.00,,,,34.00,,,,20.00,,,,3.40,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,over,44.00
2017,REG,3,A.J. Derby,TE,DEN,0.50,2500.00,4800.00,0.0%,BUF,True,Favorite,L,16-26,-3.50,O 40,1,2,5.00,0,0.00,0.00,8.00,0.00,0.00,0.00,0,0.62,0.05,0.02,0.09,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,0.00,,,,0.00,,,,19.00,,,,0.00,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,over,40.00
2017,REG,4,A.J. Derby,TE,DEN,13.50,2500.00,4700.00,0.0%,LV,False,Favorite,W,16-10,-3.50,U 44,4,6,75.00,1,0.00,0.00,56.00,29.00,3.00,4.41,0,1.34,0.24,0.21,0.51,A.J. Derby,DEN,5.34,3.81,9.84,21.96,66.67,75.00,1.00,7.37,6.69,0.68,,,,,1.00,4.00,75.00,46.00,0.00,29.00,5.00,1.00,6.00,5.00,1.00,0.00,4.00,2.00,0.00,0.00,0.00,,,,,,2.00,,,2.00,1.33,,,1.00,13.00,,,5.00,15.67,,,8.00,1.30,,,0.50,4.00,,,2.67,,,62.00,,,40.33,,,12.20,,,1,0,0,0,1,0,0,0,0,0,0,under,44.00
2017,REG,6,A.J. Derby,TE,DEN,1.00,2700.00,4600.00,0.0%,NYG,False,Favorite,L,10-23,-13.50,U 37.5,1,4,10.00,0,0.00,0.00,42.00,5.00,0.00,-3.30,0,0.24,0.08,0.09,0.18,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0.00,50.00,3.00,,,6.00,1.67,,,4.00,26.67,,,75.00,27.67,,,56.00,4.67,,,13.50,1.00,,,-0.67,,,-16.67,,,14.33,,,-3.67,,,0,0,0,0,0,0,0,0,0,1,0,under,37.50
2017,REG,7,A.J. Derby,TE,DEN,4.60,2800.00,4600.00,0.0%,LAC,True,Favorite,L,0-21,-1.00,U 41,6,7,66.00,0,1.00,1.00,70.00,19.00,2.00,-2.31,0,0.94,0.20,0.32,0.53,A.J. Derby,DEN,3.83,3.51,9.21,31.17,85.71,66.00,0.00,3.30,3.85,-0.56,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,100.00,8.00,100.00,4.00,3.20,,4.00,2.00,1.80,,1.00,30.00,24.80,,10.00,35.33,29.00,,42.00,5.00,3.68,,1.00,3.00,3.80,,4.00,4.20,,36.00,41.20,,34.67,41.00,,-0.40,0.92,,1,1,1,0,1,0,0,0,0,1,1,under,41.00
2017,REG,8,A.J. Derby,TE,DEN,8.10,2900.00,4500.00,0.0%,KC,True,Underdog,,,-7.00,O 42,2,4,21.00,1,0.00,0.00,28.00,0.00,2.00,-0.69,0,0.75,0.11,0.09,0.23,nan,nan,,,,,,,,,,,,,,,1.00,2.00,21.00,21.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,100.00,11.00,100.00,5.67,4.00,,7.00,3.67,2.40,,6.00,50.33,31.20,,66.00,56.00,39.00,,70.00,6.37,3.92,,4.60,-1.67,0.00,,-1.67,-0.40,,-29.33,-10.20,,-28.00,-11.00,,1.73,4.18,,0,0,0,0,0,0,0,0,0,0,1,over,42.00
2017,REG,9,A.J. Derby,TE,DEN,1.10,2900.00,4500.00,0.0%,PHI,True,Underdog,,,-7.00,O 41,1,3,11.00,0,0.00,0.00,24.00,6.00,0.00,-1.59,0,0.46,0.08,0.08,0.18,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0.00,100.00,5.00,4.60,3.86,4.00,3.00,2.80,2.43,2.00,32.33,35.40,30.14,21.00,46.67,40.80,34.71,28.00,4.57,5.54,4.44,8.10,-2.00,-1.60,-0.86,-2.00,-1.80,-1.43,-21.33,-24.40,-19.14,-22.67,-16.80,-10.71,-3.47,-4.44,-3.34,0,0,0,0,0,0,0,0,0,1,1,over,41.00
2017,REG,10,A.J. Derby,TE,DEN,0.20,2700.00,4500.00,0.0%,NE,False,Underdog,,,-7.00,O 45,1,1,2.00,0,0.00,0.00,1.00,1.00,0.00,-0.62,0,2.00,0.03,0.00,0.05,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,100.00,2.00,100.00,4.67,4.80,3.86,3.00,3.00,2.80,2.14,1.00,32.67,36.60,26.86,11.00,40.67,44.00,35.29,24.00,4.60,5.66,4.11,1.10,-3.67,-3.80,-2.86,-2.00,-1.80,-1.14,-30.67,-34.60,-24.86,-39.67,-43.00,-34.29,-4.40,-5.46,-3.91,0,0,0,0,0,0,0,0,0,1,0,over,45.00
2017,REG,16,A.J. Derby,TE,MIA,1.10,2500.00,4500.00,0.0%,KC,True,Underdog,,,-11.00,U 43.5,1,5,11.00,0,0.00,0.00,65.00,6.00,1.00,-3.52,0,0.17,0.14,0.16,0.32,A.J. Derby,MIA,5.78,2.86,13.69,17.59,20.00,11.00,0.00,6.05,5.19,0.86,,,,,,,,,,,,,,,,,,,,,,0.00,2.00,0.00,0.00,100.00,2.67,3.80,3.86,1.00,1.33,2.20,2.29,1.00,11.33,22.00,27.14,2.00,17.67,33.00,32.71,1.00,3.13,3.00,4.14,0.20,2.33,1.20,1.14,-0.33,-1.20,-1.29,-0.33,-11.00,-16.14,47.33,32.00,32.29,-2.03,-1.90,-3.04,1,0,0,0,0,0,0,0,0,1,1,under,43.50
