player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,4.026,4,5,0.15913516267626082,0.0,1.0
A.J. Brown,2020,9,5.665,4,8,0.6486717197473618,0.0,1.0
A.J. Brown,2021,7,4.092,3,5,0.4511496425799316,0.0,1.0
A.J. Brown,2022,13,8.796,6,11,0.9830483202772893,0.0,1.0
A.J. Brown,2023,13,8.783,6,11,0.8797221152159356,0.0,1.0
A.J. Brown,2024,8,4.966,3,8,0.8583961789290537,0.001,0.969
A.J. Green,2017,11,5.115,3,8,0.7885271079677604,0.0,0.781
A.J. Green,2018,5,3.898,2,5,0.718050137525229,0.186,1.0
A.J. Green,2020,8,2.347,1,4,0.6249727994081022,0.0,0.007
A.J. Green,2021,7,1.014,0,2,0.14072668545801825,0.0,0.0
A.J. Green,2022,3,1.0,1,1,0.0,0.0,1.0
Adam Humphries,2017,5,1.957,1,3,0.20772818778394037,0.0,0.956
Adam Humphries,2018,11,3.937,2,6,0.33916220308283174,0.0,0.024
Adam Humphries,2019,3,0.0,0,0,0.0,0.0,0.0
Adam Humphries,2020,1,0.986,0,1,0.11749042514179613,0.986,1.0
Adam Humphries,2021,3,0.015,0,1,0.1215524578114322,0.0,0.015
Adam Thielen,2017,12,4.611,3,7,0.6630829510702262,0.0,0.094
Adam Thielen,2018,11,7.714,6,11,0.9665422908491901,0.002,1.0
Adam Thielen,2019,3,1.816,1,2,0.3874841932259947,0.0,1.0
Adam Thielen,2020,8,6.701,5,7,0.47074302968817283,0.0,1.0
Adam Thielen,2021,5,2.998,2,4,0.1673200525938239,0.0,1.0
Adam Thielen,2022,10,2.675,1,4,0.5397916264633974,0.0,0.0
Adam Thielen,2023,13,2.201,2,4,0.42731604229188497,0.0,0.0
Adam Thielen,2024,6,2.686,2,4,0.6491563756137653,0.0,0.583
Adonai Mitchell,2024,2,0.008,0,1,0.08908422980528033,0.0,0.008
Albert Wilson,2017,5,1.724,1,3,0.46024341385836254,0.0,0.718
Albert Wilson,2018,3,1.0,1,1,0.0,0.0,1.0
Albert Wilson,2019,6,0.082,0,1,0.2743647207641682,0.0,0.0
Albert Wilson,2021,2,0.994,0,1,0.07722693830523131,0.0,0.994
Aldrick Robinson,2017,2,1.0,1,1,0.0,0.0,1.0
Aldrick Robinson,2018,1,0.0,0,0,0.0,0.0,1.0
Alec Pierce,2022,6,1.8,1,3,0.4494441010848847,0.0,0.021
Alec Pierce,2023,6,1.0,1,1,0.0,0.0,0.0
Alec Pierce,2024,4,2.004,1,3,0.08935323161475471,0.0,0.998
Alex Erickson,2018,2,0.0,0,0,0.0,0.0,0.0
Alex Erickson,2019,8,1.581,1,3,0.4974324074685927,0.0,0.0
Alex Erickson,2020,1,0.679,0,1,0.4668607929565301,0.679,1.0
Alex Erickson,2023,3,0.922,0,1,0.26817158686184484,0.0,0.922
Allen Hurns,2017,4,0.546,0,2,0.5018804638556874,0.0,0.002
Allen Hurns,2018,3,0.008,0,1,0.08908422980528034,0.0,0.008
Allen Hurns,2019,3,0.963,0,1,0.18876175460087244,0.0,0.963
Allen Lazard,2019,3,0.998,0,1,0.044676615807377355,0.0,0.998
Allen Lazard,2020,2,0.018,0,1,0.132951118836962,0.0,0.018
Allen Lazard,2021,6,4.178,3,5,0.42932039317973236,0.0,1.0
Allen Lazard,2022,8,2.258,0,4,0.5209952015134112,0.0,0.021
Allen Lazard,2023,4,0.0,0,0,0.0,0.0,0.0
Allen Lazard,2024,4,1.117,1,2,0.32142028560748925,0.0,0.117
Allen Robinson,2018,8,1.879,1,3,0.3719663963317117,0.0,0.0
Allen Robinson,2019,13,5.997,5,8,0.37814150790411777,0.0,0.928
Allen Robinson,2020,11,4.898,3,8,0.6997113690658455,0.0,0.722
Allen Robinson,2021,4,0.003,0,1,0.054690035655501276,0.0,0.0
Allen Robinson,2022,7,1.19,0,2,0.5309425580983314,0.0,0.0
