player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,3.999,3,5,0.07070360669725413,0.0,1.0
A.J. Brown,2020,9,4.883,3,7,0.6747673673200268,0.0,0.998
A.J. Brown,2021,7,3.705,3,5,0.5440358444073331,0.0,1.0
A.J. Brown,2022,13,7.521,4,11,1.112456291276201,0.0,0.967
A.J. Brown,2023,13,7.885,5,11,0.9786597978868857,0.0,0.998
A.J. Brown,2024,8,4.248,2,7,0.7553118561230189,0.0,0.871
A.J. Green,2017,11,4.253,3,6,0.6715586348190306,0.0,0.322
A.J. Green,2018,5,3.118,1,5,0.7899848099805464,0.028,0.981
A.J. Green,2020,8,1.211,0,3,0.44325951766431365,0.0,0.0
A.J. Green,2021,7,0.912,0,2,0.28680306832389363,0.0,0.0
A.J. Green,2022,3,1.0,1,1,0.0,0.0,1.0
Adam Humphries,2017,5,1.314,0,2,0.5508212051110596,0.0,0.358
Adam Humphries,2018,11,2.764,1,4,0.8272266920258315,0.0,0.0
Adam Humphries,2019,3,0.0,0,0,0.0,0.0,0.0
Adam Humphries,2020,1,0.833,0,1,0.3729758705332022,0.833,1.0
Adam Humphries,2021,3,0.001,0,1,0.03160696125855822,0.0,0.001
Adam Thielen,2017,12,4.132,3,6,0.39060977970347854,0.0,0.003
Adam Thielen,2018,11,6.663,5,10,0.7532801603653186,0.0,1.0
Adam Thielen,2019,3,1.349,1,2,0.4766539625346673,0.0,1.0
Adam Thielen,2020,8,6.11,4,7,0.6015812497078014,0.0,1.0
Adam Thielen,2021,5,2.888,2,4,0.321645767887594,0.0,1.0
Adam Thielen,2022,10,1.227,0,3,0.7845195982255637,0.0,0.0
Adam Thielen,2023,13,2.048,1,3,0.21839413911549913,0.0,0.0
Adam Thielen,2024,6,2.092,1,4,0.29586483400363756,0.0,0.092
Adonai Mitchell,2024,2,0.001,0,1,0.031606961258558226,0.0,0.001
Albert Wilson,2017,5,1.065,1,2,0.246525860712421,0.0,0.065
Albert Wilson,2018,3,1.0,1,1,0.0,0.0,1.0
Albert Wilson,2019,6,0.01,0,1,0.09949874371066199,0.0,0.0
Albert Wilson,2021,2,0.761,0,1,0.42647274238806865,0.0,0.761
Aldrick Robinson,2017,2,1.0,1,1,0.0,0.0,1.0
Aldrick Robinson,2018,1,0.0,0,0,0.0,0.0,1.0
Alec Pierce,2022,6,1.147,0,3,0.35970960509833483,0.0,0.001
Alec Pierce,2023,6,1.0,1,1,0.0,0.0,0.0
Alec Pierce,2024,4,1.955,1,3,0.22130295976330722,0.0,0.952
Alex Erickson,2018,2,0.0,0,0,0.0,0.0,0.0
Alex Erickson,2019,8,1.065,0,2,0.250549396327351,0.0,0.0
Alex Erickson,2020,1,0.099,0,1,0.298662016332844,0.099,1.0
Alex Erickson,2023,3,0.341,0,1,0.474045356479736,0.0,0.341
Allen Hurns,2017,4,0.098,0,1,0.29731464814233416,0.0,0.0
Allen Hurns,2018,3,0.002,0,1,0.044676615807377355,0.0,0.002
Allen Hurns,2019,3,0.348,0,1,0.4763360158543546,0.0,0.348
Allen Lazard,2019,3,0.959,0,1,0.198290191386261,0.0,0.959
Allen Lazard,2020,2,0.002,0,1,0.044676615807377355,0.0,0.002
Allen Lazard,2021,6,3.508,1,5,0.6464796980571007,0.0,0.93
