player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,5.973,5,6,0.16208331191088118,0.973,1.0
A.J. Brown,2020,9,5.866,4,9,0.769443955074052,0.001,1.0
A.J. Brown,2021,7,5.111,3,7,0.5921815599965944,0.015,1.0
A.J. Brown,2022,13,9.306,6,12,1.0470740183960254,0.0,1.0
A.J. Brown,2023,13,8.917,6,12,1.0109950543894861,0.0,1.0
A.J. Brown,2024,8,5.977,4,8,0.7965368792466548,0.014,1.0
A.J. Green,2017,11,5.579,2,9,1.0750623237747663,0.0,0.85
A.J. Green,2018,5,4.513,2,5,0.621152960227994,0.578,1.0
A.J. Green,2020,8,4.778,3,6,0.5733375968833719,0.0,0.987
A.J. Green,2021,7,4.679,2,6,0.6632940524382832,0.0,0.997
A.J. Green,2022,3,2.025,1,3,0.5063348694293136,0.141,1.0
Adam Humphries,2017,5,3.895,2,5,0.7758704788816237,0.211,1.0
Adam Humphries,2018,11,8.655,5,11,1.0138910197846709,0.013,1.0
Adam Humphries,2019,3,1.539,0,3,0.7324472677264897,0.085,0.941
Adam Humphries,2020,1,0.973,0,1,0.16208331191088118,0.973,1.0
Adam Humphries,2021,3,1.241,0,3,0.47002021233134217,0.008,0.989
Adam Thielen,2017,12,7.772,5,11,0.931673762644414,0.0,0.997
Adam Thielen,2018,11,8.042,5,10,0.8125490754409852,0.0,1.0
Adam Thielen,2019,3,1.653,1,2,0.4760157560417512,0.0,1.0
Adam Thielen,2020,8,5.586,3,8,0.83940693349531,0.011,0.996
Adam Thielen,2021,5,3.795,2,5,0.7006960824779884,0.14,1.0
Adam Thielen,2022,10,5.709,3,8,0.9614151028562011,0.0,0.9
Adam Thielen,2023,13,7.903,4,11,1.0399956730679218,0.0,0.993
Adam Thielen,2024,6,4.627,3,6,0.87514056013877,0.163,1.0
Adonai Mitchell,2024,2,1.588,0,2,0.4942226219023165,0.589,0.999
Albert Wilson,2017,5,3.489,2,5,0.8876254840866162,0.132,1.0
Albert Wilson,2018,3,2.072,1,3,0.5889108591289516,0.212,1.0
Albert Wilson,2019,6,4.445,1,6,0.8677413209015691,0.098,0.988
Albert Wilson,2021,2,1.279,0,2,0.4507316274680533,0.28,0.999
Aldrick Robinson,2017,2,1.078,0,2,0.33751444413535847,0.099,0.979
Aldrick Robinson,2018,1,0.769,0,1,0.4214724190264411,0.769,1.0
Alec Pierce,2022,6,4.013,2,6,0.6991645013871913,0.001,0.988
Alec Pierce,2023,6,3.103,1,6,0.9820341134604235,0.004,0.73
Alec Pierce,2024,4,2.072,1,4,0.3175153539594581,0.001,0.984
Alex Erickson,2018,2,1.354,0,2,0.4905955564413522,0.36,0.994
Alex Erickson,2019,8,5.286,3,7,0.8075914808862215,0.0,0.983
Alex Erickson,2020,1,1.0,1,1,0.0,1.0,1.0
Alex Erickson,2023,3,1.389,0,3,0.5382183571748551,0.025,0.999
Allen Hurns,2017,4,2.983,1,4,0.6904426116629825,0.229,0.999
Allen Hurns,2018,3,1.412,0,3,0.5256006088276535,0.01,0.993
Allen Hurns,2019,3,2.677,0,3,0.518334833867067,0.701,0.999
Allen Lazard,2019,3,2.137,0,3,0.6357916325338042,0.276,0.996
Allen Lazard,2020,2,1.11,0,2,0.4646504062195578,0.169,0.941
Allen Lazard,2021,6,4.119,1,6,0.7421852868388055,0.016,0.985
Allen Lazard,2022,8,5.503,2,8,1.0459402468592554,0.016,0.975
Allen Lazard,2023,4,1.384,0,4,0.7553436304093654,0.005,0.414
Allen Lazard,2024,4,2.374,1,4,0.6783244061656635,0.052,0.939
Allen Robinson,2018,8,5.091,2,8,0.9158160295605227,0.002,0.962
Allen Robinson,2019,13,9.401,7,12,0.952994753395841,0.0,1.0
Allen Robinson,2020,11,9.14,6,11,0.8901685233707155,0.047,1.0
Allen Robinson,2021,4,2.091,0,4,0.6578138034428892,0.004,0.837
Allen Robinson,2022,7,2.984,0,5,0.9485483646077305,0.0,0.706
Allen Robinson,2023,1,0.444,0,1,0.4968541033341679,0.444,1.0
Alshon Jeffery,2017,10,5.548,1,9,1.3159392083223298,0.0,0.796
Alshon Jeffery,2018,9,5.401,3,9,1.0325691260152998,0.001,0.978
Alshon Jeffery,2019,5,3.415,1,5,0.7048226727340714,0.06,0.998
Amari Cooper,2017,7,3.258,2,6,0.8279106231955233,0.0,0.83
Amari Cooper,2018,10,6.21,4,9,0.681102048154313,0.0,0.996
Amari Cooper,2019,10,7.202,5,9,0.6581762681835315,0.0,1.0
Amari Cooper,2020,9,7.268,4,8,0.6754080248264747,0.0,1.0
Amari Cooper,2021,8,4.533,2,7,0.7816079579942875,0.0,0.912
Amari Cooper,2022,9,6.265,4,9,0.9070694570979668,0.008,1.0
Amari Cooper,2023,12,7.315,5,10,0.6306940621252115,0.0,0.999
Amari Cooper,2024,4,2.16,1,4,0.7391887445030533,0.036,0.83
Amari Rodgers,2022,1,0.962,0,1,0.19119623427254,0.962,1.0
Andrei Iosivas,2023,2,1.431,0,2,0.6318536222892135,0.508,0.923
Andrei Iosivas,2024,1,0.717,0,1,0.4504564351854683,0.717,1.0
Andy Isabella,2020,2,0.676,0,2,0.5394664030317365,0.036,0.64
Andy Jones,2018,2,1.013,0,2,0.4391252668658455,0.103,0.91
Anthony Miller,2018,4,3.11,1,4,0.7293147468685931,0.317,0.99
Anthony Miller,2019,6,5.704,4,6,0.490289710273426,0.72,1.0
Anthony Miller,2020,7,3.92,1,6,0.863481325796916,0.0,0.964
Antoine Wesley,2021,1,0.228,0,1,0.41954260808647315,0.228,1.0
Antonio Brown,2017,10,6.709,5,10,0.7630982898683496,0.001,1.0
Antonio Brown,2018,12,7.412,5,10,0.9768602766004972,0.0,0.986
Antonio Brown,2020,3,1.872,1,3,0.6368798944856087,0.147,1.0
Antonio Brown,2021,4,3.103,2,4,0.31046900006280825,0.105,1.0
Antonio Callaway,2018,9,5.972,3,9,1.030153386637155,0.003,0.992
Antonio Callaway,2019,1,0.949,0,1,0.21999772726098785,0.949,1.0
Auden Tate,2019,7,5.575,3,7,0.839270516579726,0.127,1.0
Auden Tate,2020,1,0.99,0,1,0.099498743710662,0.99,1.0
Ben Skowronek,2021,1,0.847,0,1,0.3599874997829786,0.847,1.0
Ben Skowronek,2022,4,2.522,1,4,0.7138038946377359,0.05,0.92
Bennie Fowler,2017,4,2.487,0,4,0.7306373929658951,0.08,0.942
Bennie Fowler,2019,1,0.319,0,1,0.46608904728603107,0.319,1.0
Bo Melton,2023,1,0.961,0,1,0.19359493795035035,0.961,1.0
Brandin Cooks,2017,11,6.092,4,9,0.9019623051990587,0.0,0.962
Brandin Cooks,2018,11,7.754,4,11,1.1728103000911954,0.001,0.999
Brandin Cooks,2019,5,3.496,1,5,0.9664284764016424,0.144,0.975
Brandin Cooks,2020,10,8.852,6,10,0.8112311631095047,0.207,1.0
Brandin Cooks,2021,9,5.34,2,8,1.0622617379911603,0.0,0.97
Brandin Cooks,2022,10,5.798,2,9,1.1424517495281803,0.0,0.875
Brandin Cooks,2023,7,4.563,2,7,0.8087218310395732,0.002,0.995
Brandin Cooks,2024,4,1.28,0,4,0.6982836100038436,0.003,0.342
Brandon Aiyuk,2020,7,6.418,5,7,0.5926854140266994,0.472,1.0
Brandon Aiyuk,2021,7,5.574,3,7,0.8868618832715722,0.149,1.0
Brandon Aiyuk,2022,9,7.799,4,9,0.8394039551967812,0.208,1.0
Brandon Aiyuk,2023,11,8.63,6,11,0.858545281275251,0.012,1.0
Brandon Aiyuk,2024,3,1.381,1,3,0.525203769978853,0.02,1.0
Brandon Coleman,2017,1,0.201,0,1,0.4007480505255141,0.201,1.0
Brandon Johnson,2023,4,2.896,1,4,0.7817825784705106,0.235,0.976
Brandon LaFell,2017,10,5.951,2,10,1.2184412172936372,0.001,0.896
Brandon Marshall,2017,1,0.668,0,1,0.47093099282166595,0.668,1.0
Brandon Powell,2018,1,1.0,1,1,0.0,1.0,1.0
Brandon Powell,2022,1,0.53,0,1,0.49909918853871116,0.53,1.0
Brandon Powell,2023,2,1.677,0,2,0.4739947257090525,0.68,0.997
Brandon Zylstra,2019,1,0.999,0,1,0.031606961258558226,0.999,1.0
Braxton Berrios,2020,3,2.2,0,3,0.714142842854285,0.367,0.992
Braxton Berrios,2021,2,1.648,0,2,0.49203251925050645,0.655,0.993
Braxton Berrios,2022,1,0.137,0,1,0.3438473498516456,0.137,1.0
Braxton Berrios,2023,1,0.838,0,1,0.368450810828257,0.838,1.0
Braxton Miller,2017,1,0.876,0,1,0.3295815528818322,0.876,1.0
Breshad Perriman,2017,1,0.51,0,1,0.4998999899979995,0.51,1.0
Breshad Perriman,2019,6,5.781,4,6,0.43016159754213296,0.788,1.0
Breshad Perriman,2020,4,2.262,1,4,0.46621454288771386,0.003,0.991
Breshad Perriman,2021,1,0.887,0,1,0.3165927984019852,0.887,1.0
Bruce Ellington,2017,4,2.326,0,4,0.7731261216645057,0.062,0.879
Bruce Ellington,2018,2,1.208,0,2,0.6947920552222802,0.367,0.841
Bryan Edwards,2021,2,1.17,0,2,0.45727453460694706,0.204,0.966
Byron Pringle,2021,3,2.94,2,3,0.23748684174075838,0.94,1.0
Calvin Ridley,2018,10,5.753,3,10,1.14017147833122,0.001,0.875
Calvin Ridley,2019,10,7.05,5,10,0.9452512893405647,0.004,1.0
Calvin Ridley,2020,10,7.665,5,9,0.8263020029020868,0.0,1.0
Calvin Ridley,2021,2,1.097,0,2,0.32494768809763824,0.106,0.991
Calvin Ridley,2023,11,7.001,5,10,0.8608129878202349,0.0,1.0
Calvin Ridley,2024,13,9.535,6,12,1.1112043016475415,0.0,1.0
Cam Sims,2020,4,3.375,1,4,0.5851281910829454,0.427,0.998
Cedric Tillman,2023,4,2.856,1,4,0.7370644476570553,0.175,0.965
Cedric Tillman,2024,4,3.513,2,4,0.5251961538320706,0.526,1.0
CeeDee Lamb,2020,10,6.283,4,9,0.8372042761477034,0.0,0.988
CeeDee Lamb,2021,7,5.23,2,7,0.7036334272900913,0.01,0.999
CeeDee Lamb,2022,15,11.321,8,15,1.1054225436456415,0.002,1.0
CeeDee Lamb,2023,14,9.168,7,13,0.9131133555041235,0.0,1.0
CeeDee Lamb,2024,12,8.003,5,11,0.843202822575921,0.0,0.996
Chad Beebe,2020,1,0.988,0,1,0.1088852607105296,0.988,1.0
Chad Williams,2018,3,1.908,0,3,0.6939279501504461,0.181,0.982
Chase Claypool,2020,9,5.523,1,9,1.2495883322118528,0.002,0.957
Chase Claypool,2021,8,4.021,2,7,0.8003492987439923,0.0,0.756
Chase Claypool,2022,7,4.433,1,7,1.1079309545274019,0.037,0.968
Chester Rogers,2017,2,1.75,1,2,0.4330127018922193,0.75,1.0
Chester Rogers,2018,5,4.487,2,5,0.6307384560972954,0.557,1.0
Chester Rogers,2019,1,0.322,0,1,0.4672429774753174,0.322,1.0
Chester Rogers,2021,1,0.974,0,1,0.15913516267626082,0.974,1.0
Chris Conley,2018,5,2.591,1,5,0.7985731024771621,0.007,0.944
Chris Conley,2019,9,7.168,2,9,1.049655181476279,0.09,0.999
Chris Conley,2020,2,1.764,0,2,0.4475533487753164,0.774,0.99
Chris Godwin,2017,4,3.977,2,4,0.16269910878674168,0.979,1.0
Chris Godwin,2018,8,5.713,3,8,0.8346442355878342,0.006,0.998
Chris Godwin,2019,11,8.049,5,11,0.961560710511822,0.007,1.0
Chris Godwin,2020,7,5.133,3,7,0.7856914152515605,0.035,1.0
Chris Godwin,2021,10,7.162,5,10,0.9239891774257966,0.002,1.0
Chris Godwin,2022,11,7.691,4,11,1.2022973841774753,0.006,0.997
Chris Godwin,2023,14,9.153,6,13,1.3044504590056305,0.0,0.979
Chris Godwin,2024,4,3.347,1,4,0.6975607500426038,0.472,0.995
Chris Hogan,2017,4,2.228,0,4,0.7496772638942708,0.001,0.838
